epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9534,2.44523,4.29532,1.36443,0.53568,0.15793,0.13789,0.05956,2.24808,2.65407,1.33234,0.000273522,0.000273522,0.000273522
2,28.3641,2.07221,2.5495,1.22463,0.59046,0.25576,0.22979,0.09169,2.1608,1.92269,1.35004,0.000527464,0.000527464,0.000527464
3,41.487,2.0047,2.10134,1.21683,0.54848,0.27448,0.26045,0.1034,2.14604,1.76134,1.33364,0.000757502,0.000757502,0.000757502
4,54.1916,1.93767,1.87331,1.18177,0.5098,0.2897,0.2544,0.10053,2.1404,1.63016,1.30342,0.000725434,0.000725434,0.000725434
5,66.6167,1.88043,1.7712,1.18259,0.60489,0.30786,0.27064,0.12183,1.9397,1.63268,1.24299,0.000689579,0.000689579,0.000689579
6,79.0646,1.83267,1.67485,1.1599,0.66174,0.29512,0.2946,0.13986,1.91211,1.50414,1.24045,0.000653724,0.000653724,0.000653724
7,91.5496,1.85389,1.59198,1.16403,0.55129,0.34311,0.31678,0.14005,1.93486,1.48952,1.2703,0.000617869,0.000617869,0.000617869
8,104.047,1.856,1.54796,1.15403,0.59146,0.35348,0.33575,0.15025,1.98368,1.46771,1.24409,0.000582013,0.000582013,0.000582013
9,116.828,1.81726,1.51147,1.14289,0.63564,0.35636,0.32912,0.14375,1.99205,1.49593,1.26273,0.000546158,0.000546158,0.000546158
10,129.468,1.80646,1.48903,1.14443,0.5237,0.39009,0.36316,0.15968,1.97633,1.46984,1.25061,0.000510303,0.000510303,0.000510303
11,142.534,1.74523,1.41913,1.12283,0.61999,0.33892,0.39266,0.17427,1.98415,1.40923,1.25808,0.000474448,0.000474448,0.000474448
12,155.483,1.77538,1.36055,1.11932,0.58261,0.38629,0.40981,0.18774,1.93121,1.33237,1.24324,0.000438593,0.000438593,0.000438593
13,168.319,1.75495,1.31679,1.1167,0.62617,0.36624,0.39459,0.16803,1.99142,1.38199,1.24024,0.000402737,0.000402737,0.000402737
14,212.075,1.79889,1.49074,1.166,0.57412,0.39198,0.39742,0.20015,1.90225,1.39953,1.23733,0.000366882,0.000366882,0.000366882
15,224.563,1.72781,1.39341,1.14451,0.5711,0.41711,0.41669,0.18845,1.94078,1.39252,1.24139,0.000331027,0.000331027,0.000331027
16,236.219,1.71348,1.36946,1.12091,0.59115,0.40324,0.4355,0.20652,1.89021,1.29862,1.21785,0.000295172,0.000295172,0.000295172
17,248.556,1.69841,1.31606,1.12235,0.50511,0.44671,0.42336,0.2049,1.88558,1.31627,1.22577,0.000259317,0.000259317,0.000259317
18,260.293,1.68102,1.28603,1.12233,0.52269,0.44383,0.42613,0.20322,1.90851,1.29254,1.23565,0.000223461,0.000223461,0.000223461
19,271.724,1.68161,1.27913,1.11163,0.57031,0.45336,0.4311,0.21484,1.89894,1.2709,1.22599,0.000187606,0.000187606,0.000187606
20,283.92,1.647,1.24463,1.10623,0.5925,0.41583,0.44329,0.22195,1.84964,1.22464,1.2183,0.000151751,0.000151751,0.000151751
21,297.475,1.66028,1.23695,1.11254,0.65117,0.42826,0.44961,0.22528,1.87372,1.24299,1.2136,0.000115896,0.000115896,0.000115896
22,310.978,1.62153,1.2016,1.11266,0.60156,0.42017,0.45067,0.21999,1.88237,1.2355,1.21998,8.00404e-05,8.00404e-05,8.00404e-05
23,324.841,1.63805,1.19671,1.09528,0.61753,0.44373,0.44934,0.22461,1.85387,1.2283,1.21388,4.41852e-05,4.41852e-05,4.41852e-05
