epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.746,2.29658,2.64496,1.02664,0.37769,0.2944,0.27222,0.12389,2.10389,1.494,0.97562,0.000302666,0.000302666,0.000302666
2,323.274,2.09307,1.68419,0.97898,0.49072,0.31103,0.3078,0.14005,2.08861,1.43376,0.96735,0.000588534,0.000588534,0.000588534
3,474.077,2.0529,1.53181,0.96987,0.44952,0.32569,0.32294,0.15085,1.98906,1.33853,0.95139,0.000857261,0.000857261,0.000857261
4,623.154,2.00487,1.44901,0.96104,0.47713,0.35062,0.34404,0.15969,1.9546,1.3336,0.94011,0.000831865,0.000831865,0.000831865
5,772.57,1.96518,1.40011,0.95103,0.48819,0.34817,0.35264,0.17017,1.92572,1.30971,0.94523,0.000806153,0.000806153,0.000806153
6,921.937,1.93736,1.364,0.95239,0.47238,0.35901,0.3603,0.17148,1.90243,1.24707,0.94217,0.000780441,0.000780441,0.000780441
7,1070.39,1.90397,1.33094,0.94351,0.48527,0.37763,0.37536,0.17995,1.87683,1.23755,0.94098,0.00075473,0.00075473,0.00075473
8,1220,1.88667,1.31716,0.94035,0.51183,0.37193,0.38387,0.185,1.87703,1.22812,0.93446,0.000729018,0.000729018,0.000729018
9,1369.75,1.86601,1.28608,0.9383,0.50963,0.37877,0.39096,0.19187,1.83867,1.20537,0.93212,0.000703306,0.000703306,0.000703306
10,1518.35,1.83985,1.26439,0.9336,0.52851,0.38057,0.39736,0.19417,1.81695,1.2127,0.93017,0.000677595,0.000677595,0.000677595
11,1666.95,1.81394,1.23951,0.92945,0.53965,0.38537,0.40254,0.19555,1.81145,1.19699,0.92968,0.000651883,0.000651883,0.000651883
12,1815.68,1.79749,1.22599,0.92875,0.52821,0.39487,0.41086,0.20374,1.78118,1.14735,0.92569,0.000626171,0.000626171,0.000626171
13,1964.2,1.79466,1.21971,0.92721,0.51363,0.38181,0.40617,0.20238,1.80281,1.17267,0.93031,0.000600459,0.000600459,0.000600459
14,2112.84,1.77227,1.19627,0.92067,0.52493,0.38759,0.41137,0.20364,1.78993,1.19109,0.92959,0.000574748,0.000574748,0.000574748
15,2261.65,1.76828,1.18426,0.92364,0.53023,0.39423,0.41277,0.20865,1.76482,1.15262,0.91762,0.000549036,0.000549036,0.000549036
16,2409.69,1.75606,1.17851,0.92102,0.52766,0.40413,0.41652,0.20794,1.75452,1.14124,0.92073,0.000523324,0.000523324,0.000523324
17,2558.08,1.74456,1.16357,0.91553,0.52804,0.40613,0.4238,0.21176,1.74475,1.12564,0.91528,0.000497613,0.000497613,0.000497613
18,2707.08,1.73772,1.148,0.91623,0.5531,0.40412,0.4266,0.21306,1.7498,1.13388,0.92416,0.000471901,0.000471901,0.000471901
19,2855.34,1.7135,1.13189,0.91432,0.55684,0.40608,0.4303,0.21546,1.74739,1.13387,0.9191,0.000446189,0.000446189,0.000446189
20,3003.88,1.70757,1.12505,0.90898,0.545,0.39934,0.4254,0.2156,1.73663,1.1365,0.91781,0.000420477,0.000420477,0.000420477
21,3152.81,1.69905,1.11323,0.90913,0.55047,0.4085,0.42796,0.21803,1.72791,1.11723,0.9201,0.000394766,0.000394766,0.000394766
22,3301.17,1.68192,1.09476,0.90608,0.55645,0.41071,0.43367,0.22037,1.72315,1.10311,0.92216,0.000369054,0.000369054,0.000369054
23,3449.88,1.67424,1.08716,0.90442,0.56526,0.41513,0.43959,0.22366,1.71543,1.09691,0.9192,0.000343342,0.000343342,0.000343342
24,3598.83,1.66589,1.07765,0.89946,0.56725,0.41867,0.44419,0.22737,1.70545,1.09182,0.91578,0.000317631,0.000317631,0.000317631
25,3747.31,1.65242,1.06085,0.89821,0.56238,0.40996,0.44048,0.22552,1.70024,1.09038,0.91572,0.000291919,0.000291919,0.000291919
26,3933.57,1.63677,1.03446,0.90012,0.57202,0.40927,0.43361,0.22319,1.70516,1.09656,0.91835,0.000266207,0.000266207,0.000266207
27,4079.21,1.62186,1.01259,0.89633,0.55443,0.42029,0.43662,0.22097,1.71517,1.11428,0.91752,0.000240495,0.000240495,0.000240495
28,4224.78,1.60935,0.99952,0.89798,0.55809,0.41777,0.43602,0.22348,1.71291,1.09409,0.91911,0.000214784,0.000214784,0.000214784
29,4370.04,1.59289,0.97762,0.89297,0.56458,0.42636,0.44733,0.22896,1.69379,1.0701,0.91442,0.000189072,0.000189072,0.000189072
30,4516.44,1.58026,0.96286,0.89163,0.58644,0.41868,0.45066,0.23161,1.69667,1.06842,0.91529,0.00016336,0.00016336,0.00016336
31,4661.78,1.56765,0.95251,0.88845,0.58042,0.42603,0.45627,0.23494,1.69461,1.0678,0.91429,0.000137649,0.000137649,0.000137649
32,4806.77,1.55621,0.93956,0.88713,0.5841,0.42601,0.45463,0.23326,1.69473,1.07875,0.91668,0.000111937,0.000111937,0.000111937
33,4952.6,1.54578,0.9278,0.88292,0.58704,0.43112,0.45723,0.23332,1.6973,1.06384,0.91865,8.62251e-05,8.62251e-05,8.62251e-05
34,5098.34,1.53486,0.91346,0.88035,0.59826,0.43028,0.46182,0.23784,1.68329,1.05897,0.91448,6.05134e-05,6.05134e-05,6.05134e-05
35,5244.93,1.51959,0.90178,0.88013,0.60233,0.42644,0.45905,0.23654,1.68673,1.05805,0.9173,3.48017e-05,3.48017e-05,3.48017e-05
