epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.167,2.30965,2.79641,1.02636,0.51159,0.27303,0.25827,0.11748,2.1027,1.5472,0.95711,0.000302333,0.000302333,0.000302333
2,247.071,2.10203,1.72127,0.97704,0.51524,0.3191,0.30854,0.14101,2.08931,1.43645,0.95491,0.000565381,0.000565381,0.000565381
3,364.566,2.0341,1.53137,0.96685,0.45635,0.31182,0.31123,0.14293,2.05628,1.44963,0.96205,0.000788433,0.000788433,0.000788433
4,478.699,1.97705,1.43318,0.95583,0.506,0.35496,0.35963,0.17002,1.91113,1.27801,0.94564,0.000729018,0.000729018,0.000729018
5,592.303,1.93954,1.37577,0.9486,0.45938,0.33356,0.3304,0.15623,1.94675,1.31677,0.94062,0.000669024,0.000669024,0.000669024
6,732.983,1.915,1.33663,0.9521,0.5009,0.34304,0.34585,0.16414,1.94291,1.30073,0.94249,0.00060903,0.00060903,0.00060903
7,844.898,1.88221,1.29094,0.94476,0.51805,0.36197,0.36928,0.17692,1.88561,1.26453,0.93486,0.000549036,0.000549036,0.000549036
8,956.786,1.84788,1.25007,0.93974,0.55347,0.34897,0.37406,0.17814,1.89561,1.24698,0.94083,0.000489042,0.000489042,0.000489042
9,1068.99,1.81863,1.22134,0.93496,0.51011,0.37225,0.38577,0.18957,1.8381,1.21809,0.93297,0.000429048,0.000429048,0.000429048
10,1181.06,1.79213,1.19496,0.92895,0.54484,0.38736,0.40603,0.20215,1.81566,1.17402,0.92948,0.000369054,0.000369054,0.000369054
11,1293.36,1.76021,1.1633,0.92461,0.56035,0.38647,0.40684,0.20198,1.80784,1.16995,0.92377,0.00030906,0.00030906,0.00030906
12,1405.39,1.73412,1.13031,0.92027,0.55964,0.39279,0.4192,0.20552,1.81461,1.15096,0.92589,0.000249066,0.000249066,0.000249066
13,1517.26,1.70802,1.10828,0.91529,0.56715,0.38725,0.42002,0.21298,1.7828,1.14852,0.92413,0.000189072,0.000189072,0.000189072
14,1629.22,1.67141,1.07455,0.90963,0.56848,0.40374,0.4315,0.21912,1.74698,1.12186,0.91669,0.000129078,0.000129078,0.000129078
15,1741.26,1.6522,1.04538,0.90661,0.56082,0.40789,0.43114,0.21918,1.74815,1.12346,0.91809,6.9084e-05,6.9084e-05,6.9084e-05
